      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
     287      14      10    1990       27.0000000     1043.9164855      992.0000000     1034.6488511
     288      15      10    1990       35.0000000      998.4221281      947.0000000      987.9984408
     289      16      10    1990       42.0000000      957.1071530      906.0000000      946.8050406
     290      17      10    1990       35.0000000      947.0859462      881.0000000      940.6548215
     291      18      10    1990       39.0000000      940.2134624      880.0000000      931.6785442
     292      19      10    1990       34.0000000      925.4921934      872.0000000      918.3585947
     293      20      10    1990       32.0000000      918.9832598      869.0000000      912.4695569
     294      21      10    1990       34.0000000      903.4945584      855.0000000      896.1052686
     295      22      10    1990       27.0000000      872.8975445      825.0000000      864.1550439
     296      23      10    1990       31.0000000      850.2468809      805.0000000      842.5348489
     297      24      10    1990       28.0000000      854.2109260      813.0000000      849.1780705
     298      25      10    1990       25.0000000      846.6686532      803.0000000      840.1937583
     299      26      10    1990       29.0000000      857.6919058      789.0000000      845.1612931
     300      27      10    1990       31.0000000      855.8405836      781.0000000      832.6852138
     301      28      10    1990       65.0000000     1029.1930590      786.0000000      948.0662014
     302      29      10    1990       69.0000000     1126.5908994      891.0000000     1080.8632291
     303      30      10    1990      157.0000000     1211.9421527     1010.0000000     1182.5254403
     304      31      10    1990      190.0000000     1352.2074023     1180.0000000     1337.3026269
     305       1      11    1990      115.0000000     1663.6568668     1510.0000000     1663.7803910
     306       2      11    1990      104.0000000     1826.3507275     1640.0000000     1811.9943290
     307       3      11    1990      100.0000000     1946.2751005     1750.0000000     1933.5510667
     308       4      11    1990      131.0000000     1914.7468369     1700.0000000     1890.1402387
     309       5      11    1990      130.0000000     1866.5194548     1670.0000000     1843.2866201
     310       6      11    1990      115.0000000     1843.4740426     1680.0000000     1826.9410189
     311       7      11    1990      102.0000000     1857.6543502     1720.0000000     1845.8841200
     312       8      11    1990       95.0000000     1806.7303258     1680.0000000     1789.1753938
     313       9      11    1990       81.0000000     1670.4905077     1550.0000000     1645.8922070
     314      10      11    1990       66.0000000     1553.7045486     1430.0000000     1527.0542373
     315      11      11    1990       67.0000000     1500.5172056     1320.0000000     1472.0447216
     316      12      11    1990       74.0000000     1449.7922347     1260.0000000     1423.8773059
     317      13      11    1990      109.0000000     1481.1812490     1310.0000000     1461.2037606
     318      14      11    1990       92.0000000     1791.8819193     1610.0000000     1794.4497139
     319      15      11    1990       92.0000000     1920.3374694     1710.0000000     1908.0665419
     320      16      11    1990      155.0000000     1897.9747555     1690.0000000     1875.1318743
     321      17      11    1990      159.0000000     2027.4826289     1850.0000000     2022.6090586
     322      18      11    1990      131.0000000     2257.4849186     2070.0000000     2253.5696826
     323      19      11    1990      161.0000000     2308.2714670     2090.0000000     2285.3931082
     324      20      11    1990      196.0000000     2567.0560926     2220.0000000     2529.5671173
     325      21      11    1990      336.0000000     2900.2782806     2560.0000000     2881.3778445
     326      22      11    1990      566.0000000     3216.7813345     2870.0000000     3217.8187297
     327      23      11    1990      373.0000000     3324.8485444     2940.0000000     3298.2491439
     328      24      11    1990      293.0000000     3337.6647191     3000.0000000     3310.0139578
     329      25      11    1990      264.0000000     3283.3649727     2970.0000000     3244.5518084
     330      26      11    1990      226.0000000     3001.6057347     2710.0000000     2946.7836730
     331      27      11    1990      201.0000000     2649.3246810     2390.0000000     2593.8280487
